Attribute,Description,Valid Values,Requires,Required,Source,Parent,Properties,Requires Component,Validation Rules
mirnaSeq,Small RNA measurements collected from RNA-Seq experiments; [http://purl.obolibrary.org/obo/OBI_0002112],,"platform,readLength,runType,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,nucleicAcidSource",FALSE,,assay,,,
LC-MSMS,A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series; [http://purl.obolibrary.org/obo/CHMO_0000701],,platform,FALSE,,assay,,,
LC-MS,A method where a sample mixture is first separated by liquid chromatography before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance; [http://purl.obolibrary.org/obo/CHMO_0000524],,,FALSE,,assay,,,
lncrnaSeq,Long non-coding RNA measurements collected from RNA-Seq experiments,,,FALSE,,assay,,,
exomeSeq,Data derived from exome sequencing; [http://purl.obolibrary.org/obo/OBI_0002118],,"platform,readLength,runType,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,nucleicAcidSource",FALSE,,assay,,,
Sanger sequencing,"A DNA sequencing technique in which a mixture of deoxynucleosidetriphosphates (dNTPs) and chain-terminating dNTPs, which are radioactively or fluorescently labeled, are combined within the reaction mixture. Once the reaction is complete, the DNA strands are separated by size, and the labeled chain terminating dNTPs can be read in sequence by the investigator or by a machine.; [http://purl.obolibrary.org/obo/NCIT_C19641]",,"platform,readLength,runType,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,nucleicAcidSource",FALSE,,assay,,,
ChIPSeq,Chromatin immuno-precipitation followed by sequencing; [http://purl.obolibrary.org/obo/OBI_0000716],,assayTarget,FALSE,,assay,,,
rnaArray,RNA measurements captured by array technology; [http://purl.obolibrary.org/obo/OBI_0001463],,"platform,nucleicAcidSource",FALSE,,assay,,,
snpArray,SNP measurements captured by array technology; [http://purl.obolibrary.org/obo/OBI_0001204],,platform,FALSE,,assay,,,
methylationArray,Methylation data captured by array technology; [http://purl.obolibrary.org/obo/OBI_0001332],,,FALSE,,assay,,,
mirnaArray,microRNA measurements captured by array technology; [http://purl.obolibrary.org/obo/OBI_0001335],,"platform,nucleicAcidSource",FALSE,,assay,,,
bisulfiteSeq,Methylation data captured by sequencing of DNA treated by a bisulfite-based chemical process; [http://purl.obolibrary.org/obo/OBI_0000748],,assayTarget,FALSE,,assay,,,
ATACSeq,Open chromatin regions measured by sequencing DNA after assay for transposase-accessible chromatin (ATAC) treatment; [http://purl.obolibrary.org/obo/OBI_0002039],,assayTarget,FALSE,,assay,,,
HI-C,Chromatin interactions detected by HI-C protocol; [http://www.ebi.ac.uk/efo/EFO_0007693],,assayTarget,FALSE,,assay,,,
errBisulfiteSeq,Data for enriched reduced representation bisulfite sequencing data,,assayTarget,FALSE,,assay,,,
ISOSeq,Full isoform sequencing,,assayTarget,FALSE,,assay,,,
MRI,"Techniques that uses magnetic fields and radiowaves to form images, typically to investigate the anatomy and physiology of the human body.; [http://edamontology.org/topic_3444]",,,FALSE,,assay,,,
westernBlot,A multistep process in which a mixture of proteins is separated by gel electrophoresis; [http://purl.obolibrary.org/obo/MMO_0000338],,assayTarget,FALSE,,assay,,,
wholeGenomeSeq,Laboratory technique to sequence the complete DNA sequence of an organism's genome at a single time; [http://edamontology.org/topic_3673],,"platform,readLength,runType,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,nucleicAcidSource",FALSE,,assay,,,
polymeraseChainReaction,"A rapid technique for in vitro amplification of specific DNA or RNA sequences, allowing small quantities of short sequences to be analyzed without cloning; [http://purl.obolibrary.org/obo/MMO_0000459]",,,FALSE,,assay,,,
cellViabilityAssay,This assay type measures the cellular state of living or dying by measuring an indicator of life or death; [http://www.bioassayontology.org/bao#BAO_0003009],,,FALSE,,assay,,,
atomicForceMicroscopy,Microscopy which uses a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen; [http://purl.obolibrary.org/obo/CHMO_0000113],,,FALSE,,assay,,,
brightfieldMicroscopy,Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective; [http://purl.obolibrary.org/obo/CHMO_0000104],,,FALSE,,assay,,,
tractionForceMicroscopy,An experimental method for determining the tractions on the surface of a biological cell by obtaining measurements of the surrounding displacement field within an in vitro extracellular matrix (ECM); [https://en.wikipedia.org/wiki/Traction_force_microscopy],,"platform,readLength,runType,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,nucleicAcidSource",FALSE,,assay,,,
nextGenerationTargetedSequencing,A type of next generation sequencing in which specific genes or portions of genes are targeted for sequencing using amplicon-based workflow.; [http://purl.obolibrary.org/obo/NCIT_C130177],,,FALSE,,assay,,,
jumpingLibrary,,,,FALSE,,assay,,,
MIB/MS,Kinomics assay using multiplexed kinase inhibitor beads and mass spectrometry (MIB/MS); [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3328787/],,platform,FALSE,,assay,,,
scCGIseq,"A method for genome-wide CpG island (CGI) methylation sequencing for single cells (scCGI-seq), combining methylation-sensitive restriction enzyme digestion and multiple displacement amplification for selective detection of methylated CGIs; [https://www.ncbi.nlm.nih.gov/pubmed/28126923]",,,FALSE,,assay,,,
MudPIT,MudPIT is a method for rapid and large-scale protein identification by multidimensional liquid chromatography associated with tandem mass spectrometry; [http://purl.obolibrary.org/obo/MI_0658],,platform,FALSE,,assay,,,
questionnaire,"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study.; [http://purl.obolibrary.org/obo/OBI_0001000]",,,FALSE,,assay,,,
DNA optical mapping,Fluorescent imaging of linearly extended DNA molecules to probe information patterns along the molecules; [https://doi.org/10.1016/j.copbio.2013.01.009],,,FALSE,,assay,,,
novelty response behavior,"Behavior related to the exploration/investigation of a novel object, situation or environment.; [http://purl.obolibrary.org/obo/NBO_0000086]",,,FALSE,,assay,,,
active avoidance learning behavior,Avoidance learning when the action occurs.; [http://purl.obolibrary.org/obo/NBO_0000217],,,FALSE,,assay,,,
contextual conditioning behavior,; [http://purl.obolibrary.org/obo/NBO_0000223],,,FALSE,,assay,,,
anxiety-related behavior,An emotional behavior related to a feeling of uneasiness or nervousness triggered by an identifiable triggering stimulus.; [http://purl.obolibrary.org/obo/NBO_0000092],,,FALSE,,assay,,,
memory behavior,"Behavior related with the ability of an organism's ability to store, retain, and recall information and experiences.; [http://purl.obolibrary.org/obo/NBO_0000170]",,,FALSE,,assay,,,
kinesthetic behavior,Movement behavior of the body or its parts.; [http://purl.obolibrary.org/obo/NBO_0000338],,,FALSE,,assay,,,
locomotor activation behavior,Activation of locomotory behavior.; [http://purl.obolibrary.org/obo/NBO_0000447],,,FALSE,,assay,,,
oxBS-Seq,Oxidative bisulfite sequencing (oxBS-Seq) to map 5-methylcytosine and 5-hydroxymethylcytosine; [http://www.ebi.ac.uk/efo/EFO_0008840],,assayTarget,FALSE,,assay,,,
Ribo-Seq,Ribosome profiling (Ribo-Seq).; [http://www.ebi.ac.uk/efo/EFO_0008891],,assayTarget,FALSE,,assay,,,
Positron Emission Tomography,A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue.; [http://purl.obolibrary.org/obo/NCIT_C17007],,,FALSE,,assay,,,
RPPA,Reverse phase protein array (RPPA) is a an assay that measures multiple protein expression levels in a large number of biological samples simultaneously using high quality antibodies; [http://www.bioassayontology.org/bao#BAO_0010030],,,FALSE,,assay,,,
ELISA,"A highly sensitive technique for detecting and measuring antigens or antibodies in a solution; the solution is run over a surface to which immobilized antibodies specific to the substance have been attached, and if the substance is present, it will bind to the antibody layer, and its presence is verified and visualized with an application of antibodies that have been tagged in some way.; [http://purl.obolibrary.org/obo/NCIT_C16553]",,,FALSE,,assay,,,
LTP,Any measurable or observable characteristic related to the persistent robust synaptic response induced by synchronous stimulation of pre- and postsynaptic cells.; [http://purl.obolibrary.org/obo/VT_0002207],,,FALSE,,assay,,,
LFP,An extracellular electrophysiology assay where a microelectrode is placed in the extracellular space of brain tissue to measure action potential and compared to an electrode either outside or inside that tissue.; [http://purl.obolibrary.org/obo/OBI_0002189],,,FALSE,,assay,,,
whole-cell patch clamp,"A patch-clamp assay where the electrode is left in place on the cell, as in cell-attached recordings, but the membrane patch has been perforated, providing access from the interior of the pipette to the intracellular space of the cell. Measurements made with this technique involve recording currents through multiple channels simultaneously, over the membrane of the entire cell.; [http://purl.obolibrary.org/obo/OBI_0002178]",,,FALSE,,assay,,,
sandwich ELISA,"The sandwich ELISA measures the amount of antigen between two layers of antibodies. The antigens to be measured must contain at least two antigenic sites, capable of binding to antibody, since at least two antibodies act in the sandwich. So sandwich assays are restricted to the quantitation of multivalent antigens such as proteins or polysaccharides. Sandwich ELISAs for quantitation of antigens are especially valuable when the concentration of antigens is low and/or they are contained in high concentrations of contaminating protein.; [https://www.ebi.ac.uk/ols/ontologies/bao/terms?iri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0002421]",,,FALSE,,assay,,,
Laser Speckle Imaging,"A noninvasive, non-scanning optical imaging technique that provides full-field visualization of blood flow to the tissue being imaged, which provides information about tissue perfusion and the efficiency of disease treatment.; [http://purl.obolibrary.org/obo/NCIT_C116492]",,,FALSE,,assay,,,
Genotyping,The determination of the DNA sequence of an individual.; [http://purl.obolibrary.org/obo/NCIT_C45447],,,FALSE,,assay,,,
TMT quantitation,"An isobaric labeling technique that uses tags containing four regions with the same total molecular weights and structure, so that during chromatographic or electrophoretic separation and in single MS mode, molecules labelled with different tags are indistinguishable.; [http://purl.obolibrary.org/obo/ERO_0002175]",,,FALSE,,assay,,,
label free mass spectrometry,"A mass spectrometry assay that allows for measurement for endogenous targets in live cell assays, and eliminates the need for tags, dyes, or specialized reagents or engineered cells.; [http://purl.obolibrary.org/obo/ERO_0000708]",,,FALSE,,assay,,,
assay,The technology used to generate the data in this file,"elevated plus maze test, open field test, rotarod performance test, mRNAcounts, high content screen, Immunocytochemistry, immunofluorescence, autoradiography, electrochemiluminescence, Real Time PCR, Vernier Caliper, scale, Blood Chemistry Measurement, in vivo bioluminescence, immunohistochemistry, NOMe-Seq, FIA-MSMS, UPLC-MSMS, HPLC-MSMS, liquid chromatography-electrochemical detection, rnaSeq, mirnaSeq, LC-MSMS, LC-MS, lncrnaSeq, exomeSeq, Sanger sequencing, ChIPSeq, rnaArray, snpArray, methylationArray, mirnaArray, bisulfiteSeq, ATACSeq, HI-C, errBisulfiteSeq, ISOSeq, MRI, westernBlot, wholeGenomeSeq, polymeraseChainReaction, cellViabilityAssay, atomicForceMicroscopy, brightfieldMicroscopy, tractionForceMicroscopy, nextGenerationTargetedSequencing, jumpingLibrary, MIB/MS, scCGIseq, MudPIT, questionnaire, DNA optical mapping, novelty response behavior, active avoidance learning behavior, contextual conditioning behavior, anxiety-related behavior, memory behavior, kinesthetic behavior, locomotor activation behavior, oxBS-Seq, Ribo-Seq, Positron Emission Tomography, RPPA, ELISA, LTP, LFP, whole-cell patch clamp, sandwich ELISA, Laser Speckle Imaging, Genotyping, TMT quantitation, label free mass spectrometry",,TRUE,,experimentalData,,,
H3K9me3,,,,FALSE,,assayTarget,,,
H3K4me3,,,,FALSE,,assayTarget,,,
H3K4me1,,,,FALSE,,assayTarget,,,
H3K27ac,,,,FALSE,,assayTarget,,,
H3K36me3,,,,FALSE,,assayTarget,,,
H3K27me3,,,,FALSE,,assayTarget,,,
H3K9ac,,,,FALSE,,assayTarget,,,
REST,,,,FALSE,,assayTarget,,,
CTCF,,,,FALSE,,assayTarget,,,
input,,,,FALSE,,assayTarget,,,
normalized,A data set that is produced as the output of a normalization data transformation.; [http://purl.obolibrary.org/obo/OBI_0000451],,,FALSE,,dataSubtype,,,
dataMatrix,A file of data containing multiple values for multiple samples.,,,FALSE,,dataSubtype,,,
raw,"A data file produced by an instrument, or one with very little subsequent processing.",,,FALSE,,dataSubtype,,,
processed,A file of data generated from running one or more bioinformatics methods on a raw file.,,,FALSE,,dataSubtype,,,
metadata,"A file of clinical, technical, or other parameters that describe a dataset.",,,FALSE,,dataSubtype,,,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","normalized, dataMatrix, raw, processed, metadata",,TRUE,,experimentalData,,,
individual,Metadata describing properties of individuals (human or animal) represented in the study.; [Sage Bionetworks],,,FALSE,,metadataType,,,
biospecimen,Metadata describing properties of specimens collected and/or analyzed in the study.; [Sage Bionetworks],,,FALSE,,metadataType,,,
assay,Metadata describing properites of an assay conducted in the study.; [Sage Bionetworks],,,FALSE,,metadataType,,,
data dictionary,Metadata describing terms or variables that appear in another file.; [Sage Bionetworks],,,FALSE,,metadataType,,,
manifest,Metadata describing a list of files and the annotations terms associated with them.; [Sage Bionetworks],,,FALSE,,metadataType,,,
protocol,"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.; [http://purl.obolibrary.org/obo/OBI_0000272]",,,FALSE,,metadataType,,,
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","individual, biospecimen, assay, data dictionary, manifest, protocol",,TRUE,,experimentalData,,,
head,The head is the anterior-most division of the body.; [http://purl.obolibrary.org/obo/UBERON_0000033],,,FALSE,,bodyPart,,,
bodyPart,Named areas of the body.,head,,TRUE,,experimentalData,,,
lymph node,A bean-shaped organ surrounded by a connective tissue capsule.; [http://purl.obolibrary.org/obo/NCIT_C12745],,,FALSE,,organ,,,
kidney,One of the two bean-shaped organs located on each side of the spine in the retroperitoneum.; [http://purl.obolibrary.org/obo/NCIT_C12415],,,FALSE,,organ,,,
skin,The integument of an animal (as a fur-bearing mammal or a bird) separated from the body usually with its hair or feathers.; [http://purl.obolibrary.org/obo/BTO_0001253],,,FALSE,,organ,,,
mammary gland,"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males.; [http://purl.obolibrary.org/obo/UBERON_0001911]",,,FALSE,,organ,,,
nerves,"Any of the filamentous bands of nervous tissue that connect parts of the nervous system with the other organs, conduct nervous impulses, and are made up of axons and dendrites together with protective and supportive structures.; [http://purl.obolibrary.org/obo/BTO_0000925]",,,FALSE,,organ,,,
brain,The portion of the vertebrate central nervous system that constitutes the organ of thought and neural coordination.; [http://purl.obolibrary.org/obo/BTO_0000142],,,FALSE,,organ,,,
blood,"The fluid that circulates in the heart, arteries, capillaries, and veins of a vertebrate animal carrying nourishment and oxygen to and bringing away waste products from all parts of the body.; [http://purl.obolibrary.org/obo/BTO_0000089]",,,FALSE,,organ,,,
breast,The fore or ventral part of the body between the neck and the abdomen.; [http://purl.obolibrary.org/obo/BTO_0000149],,,FALSE,,organ,,,
colon,The part of the large intestine that extends from the cecum to the rectum.; [http://purl.obolibrary.org/obo/BTO_0000269],,,FALSE,,organ,,,
lung,One of the usually paired compound saccular thoracic organs that constitute the basic respiratory organ of air-breathing vertebrates.; [http://purl.obolibrary.org/obo/BTO_0000763],,,FALSE,,organ,,,
prostate,Lobular organ the parenchyma of which has as its parts glandular acini which are continuous with the prostatic part of the urethra.; [http://purl.obolibrary.org/obo/FMA_9600],,,FALSE,,organ,,,
pancreas,A large lobulated gland of vertebrates that secretes digestive enzymes and the hormones insulin and glucagon.; [http://purl.obolibrary.org/obo/BTO_0000988],,,FALSE,,organ,,,
ovary,One of the typically paired essential female reproductive organs that produce eggs and in vertebrates female sex hormones.; [http://purl.obolibrary.org/obo/BTO_0000975],,,FALSE,,organ,,,
spleen,"A highly vascular ductless organ that is located in the left abdominal region near the stomach or intestine of most vertebrates and is concerned with final destruction of red blood cells, filtration and storage of blood, and production of lymphocytes.; [http://purl.obolibrary.org/obo/BTO_0001281]",,,FALSE,,organ,,,
bone marrow,"The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.; [http://purl.obolibrary.org/obo/BTO_0000141]",,,FALSE,,organ,,,
Bursa Of Fabricius,"An epithelial outgrowth of lymphoid tissue in the cloaca of young birds, responsible for B-lymphocyte maturation. It undergoes atrophy and involution at six months of age.; [http://purl.obolibrary.org/obo/NCIT_C111141]",,,FALSE,,organ,,,
nose,A structure of special sense serving as an organ of the sense of smell and as an entrance to the respiratory tract.; [http://purl.obolibrary.org/obo/NCIT_C12756],,,FALSE,,organ,,,
organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,"lymph node, kidney, skin, mammary gland, nerves, brain, blood, breast, colon, lung, prostate, pancreas, ovary, spleen, bone marrow, Bursa Of Fabricius, nose",,TRUE,,experimentalData,,,
Volume,The amount of three dimensional space occupied by an object or the capacity of a space or container.; [http://purl.obolibrary.org/obo/NCIT_C25335],,assay,FALSE,,dataType,,,
Weight,The vertical force exerted by a mass as a result of gravity.; [http://purl.obolibrary.org/obo/NCIT_C25208],,assay,FALSE,,dataType,,,
Pharmacokinetic Study,"A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body.; [http://purl.obolibrary.org/obo/NCIT_C49663]",,assay,FALSE,,dataType,,,
genomicVariants,"Genomic alterations, including single nucleotide polymorphisms, short indels and structural variants, in a genome sequence.; [https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Foperation_3227]",,assay,FALSE,,dataType,,,
behavior process,"The action, reaction, or performance of an organism in response to external or internal stimuli.; [http://purl.obolibrary.org/obo/NBO_0000313]",,assay,FALSE,,dataType,,,
metabolomics,"The systematic study of metabolites, the chemical processes they are involved, and the chemical fingerprints of specific cellular processes in a whole cell, tissue, organ or organism.; [http://edamontology.org/topic_3172]",,assay,FALSE,,dataType,,,
image,Biological or biomedical data that has been rendered into an image.; [https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Fdata_2968],,assay,FALSE,,dataType,,,
geneExpression,The analysis of levels and patterns of synthesis of gene products (proteins and functional RNA) including interpretation in functional terms of gene expression data.; [https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0203],,assay,FALSE,,dataType,,,
isoformExpression,Expression of protien isoforms formed from alternative splicings or other post-translational modifications of a single gene through RNA splicing mechanisms.; [https://en.wikipedia.org/wiki/Protein_isoform],,assay,FALSE,,dataType,,,
proteomics,"Protein and peptide identification, especially in the study of whole proteomes of organisms.; [https://www.ebi.ac.uk/ols/ontologies/edam/terms?iri=http%3A%2F%2Fedamontology.org%2Ftopic_0121]",,assay,FALSE,,dataType,,,
kinomics,Kinomics is the study of protein kinases and protein kinase signaling.; [http://www.kinomecore.com/what-is-kinomics/],,assay,FALSE,,dataType,,,
drugScreen,Information on drug sensitivity and molecular markers of drug response; [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3531057/],,assay,FALSE,,dataType,,,
drugCombinationScreen,Information on drug sensitivity of more than one compound; [https://www.ncbi.nlm.nih.gov/pubmed/29344898],,,FALSE,,dataType,,,
cellularPhysiology,,,assay,FALSE,,dataType,,,
chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.; [https://en.wikipedia.org/wiki/Chromatin_remodeling],,,FALSE,,dataType,,,
surveyData,A data set that contains the outcome of a survey.; [http://purl.obolibrary.org/obo/OMIABIS_0000060],,assay,FALSE,,dataType,,,
network,An interconnected system of things or people.; [http://purl.obolibrary.org/obo/NCIT_C61377],,,FALSE,,dataType,,,
clinical,Data obtained through patient examination or treatment.; [http://purl.obolibrary.org/obo/NCIT_C15783],,,FALSE,,dataType,,,
immunoassay,Laboratory test involving interaction of antigens with specific antibodies.; [http://purl.obolibrary.org/obo/NCIT_C16723],,,FALSE,,dataType,,,
electrophysiology,Data generated from an electrophysiology assay.; [http://purl.obolibrary.org/obo/ERO_0000564],,,FALSE,,dataType,,,
dataType,Types of input/output data in bioinformatics pipelines,"Volume, Weight, Pharmacokinetic Study, genomicVariants, behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology",,TRUE,,experimentalData,,,
NIMH-HBCC,The NIH Human Brain Collection Core; [https://www.nimh.nih.gov/labs-at-nimh/research-areas/research-support-services/hbcc/human-brain-collection-core-hbcc.shtml],,,FALSE,,individualIdSource,,,
MSSM,Mount Sinai NIH Brain and Tissue Repository; [http://icahn.mssm.edu/research/labs/neuropathology-and-brain-banking],,,FALSE,,individualIdSource,,,
Penn,"The University of Pennsylvania Alzheimer's Disease Core Center (ADCC), Penn Udall Center and the Center for Neurodegenerative Disease Research (CNDR); [http://www.med.upenn.edu/cndr/biosamples-brainbank.html]",,,FALSE,,individualIdSource,,,
Pitt,The University of Pittsburgh NIH NeuroBioBank Brain and Tissue Repository; [https://neurobiobank.nih.gov/],,,FALSE,,individualIdSource,,,
Rush,Rush Alzheimer's Disease Center; [https://www.radc.rush.edu/],,,FALSE,,individualIdSource,,,
JAX,The Jackson Laboratory; [https://www.jax.org],,,FALSE,,individualIdSource,,,
individualIdSource,Database or repository to which individual ID maps,"NIMH-HBCC, MSSM, Penn, Pitt, Rush, JAX",,TRUE,,experimentalData,,,
medial dorsal nucleus of thalamus,A large nucleus in the thalamus. It receives inputs from the Pre-Frontal Cortex and the Limbic System and in turn relays them to the Pre-Frontal Association Cortex. ; [http://purl.obolibrary.org/obo/UBERON_0002739],,,FALSE,,tissue,,,
posterior inferior parietal cortex,; [Sage Bionetworks],,,FALSE,,tissue,,,
midbrain,"the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles.; [http://purl.obolibrary.org/obo/UBERON_0001891]",,,FALSE,,tissue,,,
cerebral cortex,The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0000956],,,FALSE,,tissue,,,
frontal lobe,Frontal lobe is the anterior-most of five lobes of the cerebral hemisphere. It is bounded by the central sulcus on its posterior border and by the longitudinal cerebral fissure on its medial border.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0016525],,,FALSE,,tissue,,,
hippocampus,A curved elongated ridge that extends over the floor of the descending horn of each lateral ventricle of the brain and consists of gray matter covered on the ventricular surface with white matter.; [https://www.ebi.ac.uk/ols/ontologies/bto/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FBTO_0000601],,,FALSE,,tissue,,,
nerve tissue,"Portion of tissue in the nervous system which consists of neurons and glial cells, and may also contain parts of the vasculature.; [https://www.ebi.ac.uk/ols/ontologies/uberon/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FUBERON_0003714]",,,FALSE,,tissue,,,
